	top_level_mp	genes	n_genes	n_male	n_female	n_nonsexed
decreased startle reflex	behavior/neurological phenotype	0610009B22Rik,2510002D24Rik,AW549877,Aadac,Aak1,Abce1,Acvr2b,Adgrf5,Adgrv1,Adprm,Adra2a,Agpat1,Ahcy,Akap7,Aldob,Ankrd1,Ankrd11,App,Aqp9,Arhgap29,Arih2,Arl6ip1,Arr3,Arrdc1,Asb2,Asic1,Aspa,Atp5md,Atp6v1d,Atrn,Auh,Baiap2l2,Bicd1,Birc6,Btbd16,Btnl4,Bub1,C1qtnf5,C2cd2l,C9orf72,Cacna2d1,Carmil2,Caskin1,Cast,Cdh4,Cep85l,Chd8,Chst2,Cib2,Ckb,Clic5,Clrn2,Cnnm2,Col11a1,Colca2,Copb2,Cops7a,Cpt1c,Cracd,Crbn,Cryge,Cstb,Ctag2l2,Ctsa,Cxcl5,Cyp27b1,Dbn1,Ddx6,Defb47,Dennd6b,Dgat2l6,Dixdc1,Dnajc14,Dnase1l2,Dner,Dnmbp,Dpf2,Dpf3,Dpm3,Dpp10,Dyrk1b,Ecpas,Edc3,Eftud2,Eif2s1,Eif2s2,Elfn1,Elmod1,Emg1,Epg5,Epgn,Epha5,Eps8l2,Eral1,Erlec1,Erlin1,Evl,Ewsr1,Fbxo2,Fbxo30,Fcmr,Fndc9,Foxj3,Foxo3,Fzd3,G2e3,Gas6,Gatm,Gde1,Get4,Gins3,Gipc3,Glrb,Gm572,Gnao1,Gpr142,Gpr61,Gpr62,Gramd1c,Gria1,Grtp1,Gstcd,Gxylt2,Hacd3,Hectd3,Hibadh,Hip1,Hipk3,Hsbp1l1,Ift22,Il3,Ilrun,Ing4,Ino80d,Ipo9,Iqcb1,Iqsec3,Irf4,Itsn1,Kank1,Kansl1,Kcne1,Kif13a,Kif3c,Klhdc7b,Krt74,Lgi3,Lingo2,Lmbrd1,Lmod3,Lypla1,Mag,Man1b1,Mark4,Marveld2,Mcidas,Mcur1,Mdm1,Micu3,Mid1ip1,Mir129-2,Mlc1,Mmgt2,Mpdz,Mpzl2,Mrpl3,Mtmr2,Muc5b,Myh1,Myo1d,Naxe,Nedd4l,Nek1,Nemp1,Neurod2,Nin,Nlgn3,Nmb,Notch4,Nptn,Nt5c2,Oas1a,Osbpl8,Otog,Otogl,Pald1,Palm3,Parg,Pde4c,Peli1,Phf14,Pigc,Pitpnm3,Pjvk,Pkhd1l1,Plag1,Ppm1a,Ppp2r5c,Prkacb,Prkd2,Prrt2,Prss56,Prune1,Pwwp3a,Rab11fip3,Rab11fip4,Rad51ap1,Rbm22,Relch,Retreg3,Rfxank,Rlim,Rnf10,Rora,Rps6ka1,Rtn4,Scamp2,Scg2,Sdhaf3,Shank1,Slc17a8,Slc30a2,Slc44a1,Slc51b,Slc9a3,Slc9a4,Slitrk1,Smagp,Sorl1,Srsf11,Sst,Sstr5,Stk16,Strbp,Sun1,Sytl4,Tacc1,Tango2,Tasor2,Tenm4,Thra,Thsd1,Timm8a1,Tlcd3b,Tm2d2,Tmem145,Tmem175,Tmem203,Tmem51,Tmem79,Tmem86b,Tmod2,Tmtc4,Tox,Tprn,Tra2a,Trappc2,Triobp,Trip13,Ttc28,Usp2,Usp31,Usp53,Vax1,Vgll3,Wdr45,Wdsub1,Wnt10b,Zdhhc5,Zfp160,Zfp267,Zfp280d,Zfp398,Zfp488,Zfp804a,Zfp930,Zgrf1	277	251	118	50
decreased thermal nociceptive threshold	behavior/neurological phenotype	Ablim1,Clk1,Kdm4c,Rxrg	4	1	1	2
decreased thigmotaxis	behavior/neurological phenotype	Abca9,Abhd10,Acadsb,Adprm,Antkmt,Ap4e1,Arhgef10l,B4gat1,Bbs4,Brms1l,Cacna1b,Camk2b,Ccdc15,Ccdc28a,Cdip1,Cep350,Cep85l,Cep95,Col27a1,Comt,Cxxc4,Cyb5d2,Cystm1,Dagla,Dcaf10,Ecpas,Eif2a,Elfn2,Elmod1,Epb41l4a,Fam124b,Fam168a,Fgf12,Fndc9,Foxe3,Fscn1,Gnb2,Gnb4,Hirip3,Hspb9,Idh3b,Irgm2,Kbtbd7,Kcne1,Kcnj6,Kcnt1,Lamtor4,Leprotl1,Lgi4,Lrit3,Mogs,Msx1,Myh1,Myo3a,Napb,Ncald,Negr1,Nol4,Nox4,Nptn,Nr1d1,Nrsn1,Ociad2,Ofcc1,Otogl,Piezo2,Pitx3,Plin4,Postn,Prep,Prkag2,Prpf6,Prrc2c,Psmc6,Ptms,Ptp4a3,Pxdn,Rab11fip4,Rab6b,Rad1,Rap2b,Rer1,Rnf10,Rnf214,Samd11,Saraf,Sart1,Scamp5,Scg5,Sec24b,Setd6,Sf3b3,Slc26a10,Slc35c2,Slc6a6,Smarcad1,Smarcc2,Sox14,Sox18,Spata3,Specc1l,Ssu72,Strbp,Strn3,Strn4,Stx16,Syn3,Syncrip,Taf12,Taok3,Tas2r103,Tbc1d30,Tenm4,Tiprl,Tmod2,Tpd52l1,Tppp,Try10,Tspan13,Ube3b,Wdr91,Wnk2,Xylt1,Zbtb12,Zbtb32,Zbtb43,Zfp281,Zfp42,Zfp512,Zfp60,Zfp821,Zhx3,Zyg11b	133	125	117	80
decreased threshold for auditory brainstem response	hearing/vestibular/ear phenotype	Cav3,Cxcl5	2	1	0	1
decreased tidal volume	respiratory system phenotype	Cdh26,Dll1	2	0	1	1
decreased total body fat amount	adipose tissue phenotype	3830406C13Rik,4921536K21Rik,4930404H24Rik,4930591A17Rik,4933434E20Rik,A830031A19Rik,Abcd3,Abhd16a,Abhd17a,Acbd5,Acod1,Acsm2,Acvr1c,Adamts18,Adgra1,Adgrb1,Adgrf4,Adora1,Adpgk,Afap1l2,Agl,Ahcyl1,Akap9,Alg10b,Ampd2,Ankrd7,Ankrd9,Ap1ar,Ap4e1,Ap4m1,Apbb2,Aph1a,Aplp2,Aqp1,Arhgef4,Arid1b,Arid4b,Arrb1,Arsj,Asb2,Asb8,Atg4c,Atn1,Atp6v0a1,Atp8b1,Atp8b2,Auts2,Bcl11b,Bhmt,Bnip2,Bscl2,Btbd16,Bzw2,C2cd4b,C9orf72,Cabp1,Cadps2,Camk1,Camk2b,Camkmt,Cand2,Cbx6,Ccdc122,Ccdc191,Ccnd2,Cdh23,Ceacam5,Cenph,Chd9,Chn1,Chsy3,Cibar1,Cidec,Cilp,Ckb,Clcnkb,Cln6,Clpp,Cmtm5,Cmtr2,Cnot7,Col1a2,Col26a1,Col4a5,Copb2,Cox7c,Cpgi11865,Cpgi5563,Crbn,Crlf3,Crybg1,Csmd3,Csnk1g3,Ctdspl2,Cttnbp2,Cxcr2,Cyb5d1,Cyba,Cyp20a1,Cyp27a1,Cyp27b1,Cyp7b1,D630045J12Rik,Dact3,Dbn1,Dclk1,Ddah1,Ddhd1,Ddx51,Dip2b,Dipk1a,Dlg3,Dlg4,Dlgap2,Dlgap4,Dmd,Dnajc7,Dnase1l2,Dock9,Dppa1,Dscc1,Dsg1b,Duoxa2,Dus2,Dusp26,Dync1i2,Dynlrb2,Eef1b2,Efr3b,Egfl8,Egln3,Eif2ak1,Elmod1,Emd,Eml1,Emx1,Enc1,Entpd6,Erp44,Esco1,Exoc3,Exoc6b,Fahd2a,Fam120a,Fam163a,Fam199x,Far2,Fbn2,Fbxo30,Fbxo7,Fbxw10,Fbxw9,Fnbp1l,Foxj3,Foxp1,Gabra2,Galnt18,Gas2l2,Gda,Gdap2,Gkn2,Gm2694,Gngt2,Gpbar1,Gpc2,Gpld1,Gpr22,Grik1,Gt(ROSA)26Sor,H13,H1f10,H2-M5,Hagh,Hbs1l,Hgsnat,Hibadh,Hip1r,Hirip3,Hook3,Hs3st3a1,Hsbp1l1,Hsd17b1,Hspbap1,Htr1b,Htr3b,Htr7,Hyal4,Ide,Ifnar1,Il12rb1,Il6st,Ino80d,Iqcb1,Izumo1r,Jmjd4,Kars,Katnal2,Kcne1,Kcnj13,Kcnma1,Kcnv2,Kctd1,Kctd7,Kif21b,Kif3b,Klhl42,Kmt2a,Kng2,Krtap17-1,Kyat1,Lama1,Ldha,Ldhb,Leprot,Lingo2,Lmod3,Lncenc1,Lrrc41,Lrrc8d,Lst1,Lta4h,Mast2,Maz,Med23,Mep1a,Mettl24,Mgme1,Micu3,Mindy1,Mlec,Mpdz,Mpv17,Mrps18c,Mturn,Myh7b,Myl3,Mylip,Myo1d,Myo3b,Myo5c,Myo6,Naa10,Nadk,Nanos2,Natd1,Ncaph,Ncoa1,Ndufs3,Nek1,Neurl4,Ngfr,Ninj2,Nisch,Npepps,Npffr2,Nptn,Nr1d1,Nrde2,Nrxn1,Nt5c2,Nup37,Nup62,Nutm1,Nxn,Oaf,Ogdh,Orc1,Osbpl3,Pacsin2,Paox,Pbx3,Pcdh18,Pck2,Peli1,Pepd,Pex3,Pfn1,Phf20l1,Phf5a,Phf8,Pitx3,Pkp4,Plcb4,Plekhm1,Pmch,Polb,Popdc3,Ppp4r1,Prdm10,Prdm4,Prkg1,Prmt9,Pstpip2,Ptcd3,Ptpn14,Ptprd,Ptprm,Pxdn,Rab11fip3,Rab3ip,Rab6b,Rad54l2,Rad9a,Rasgrf1,Rcan1,Reg3d,Rep15,Repin1,Retreg3,Rhox13,Rimklb,Rnf10,Rnf115,Rnf43,Ropn1l,Rpusd2,Rrbp1,Rreb1,Rspo1,Rusc1,Safb2,Sag,Satb1,Sbk1,Scarb1,Scarb2,Scg2,Secisbp2l,Sesn3,Setd1a,Setd1b,Sgms1,Sgsh,Sgsm1,Shisa7,Sik1,Sik3,Sirpa,Slbp,Slc20a2,Slc25a10,Slc25a30,Slc29a1,Slc29a3,Slc44a1,Slc44a2,Slc51b,Slc52a2,Slc7a11,Slfn1,Slu7,Smco2,Smoc1,Smyd4,Snap29,Snap47,Spata5,Spin1,Spin2c,Spink14,Ssbp2,Stard5,Steap2,Stim2,Stmn2,Stx16,Stx3,Sufu,Susd6,Syt16,Sytl3,Tanc2,Tcerg1l,Tcf7l2,Tex261,Tfap4,Tfeb,Tgm6,Thbs1,Thra,Tial1,Timm50,Tmem106b,Tmem185a,Tmem198,Tmem248,Tmem260,Tmem72,Tmem79,Tmod2,Tmprss11c,Tnik,Tnks,Tnni2,Trafd1,Trib1,Trim29,Ttc28,Tuft1,Twf1,Ube2f,Uevld,Unk,Usf1,Ush1c,Usp15,Usp19,Usp20,Usp31,Vamp3,Vil1,Virma,Wac,Wdr1,Wdr41,Wdr81,Wrap53,Xpnpep1,Zdhhc5,Zfp52,Zfp60,Zfp637,Zfp748,Zfp787,Zfp84,Zfyve28,Zhx3,Zmynd8,Zscan21,Zzef1	430	485	96	74
decreased total retina thickness	vision/eye phenotype	0610009B22Rik,A930017K11Rik,AI837181,AW549877,Abhd8,Ackr3,Adgrg7,Adipor1,Ahsa2,Ankrd27,Ap1ar,Ap4e1,Aph1a,Asb8,Aspn,Atp5g2,Atxn7l3,Bahd1,Brd4,Bscl2,Car14,Ccnt2,Cdipt,Cep19,Cpa2,Csk,Csnk1g2,Cstb,Ctsh,Cyp4f16,Cyp7b1,D16Ertd472e,Dbn1,Dcaf7,Dusp11,Dyrk1b,Efcab14,Eif2ak1,Eif4h,Emg1,Epc2,Fastkd2,Fbxw9,Fmc1,Ftsj1,Gdpd5,Gkap1,Gnb1,Gngt2,Hgs,Hmmr,Ino80d,Iqce,Jcad,Kank1,Kansl1,Kansl1l,Klk5,Laptm4a,Lep,Lpo,Lsm1,Lypla1,Mapkap1,Mapt,Mccc1,Med25,Miga1,Mmd,Mphosph9,Mpp2,Mthfd2,Mtmr12,Mybbp1a,Myo18b,Nab2,Nacc1,Ndufa8,Nek1,Nos1ap,Npepps,Nr1d1,Nudt13,Nup35,Nup62,Oas1a,Parp1,Pde12,Pde4dip,Pgam5,Pigq,Pkig,Pmepa1,Pom121,Ppp2cb,Prkab1,Rnf10,Rnf144b,Rnf44,Rspo1,Sdc2,Setx,Sirpa,Slc10a4,Slc25a10,Smagp,Strn4,Stx1a,Sun1,Taf6,Tatdn2,Tek,Thra,Timp2,Tnks,Trib1,Trib2,Trim3,Trim59,Tspyl2,Ube3c,Vps37d,Wrnip1,Wsb2,Zbtb5,Zdhhc5,Zfp580,Zfp609,Zfp871,Zscan21	130	125	118	56
decreased transitional stage T1 B cell number	immune system phenotype,hematopoietic system phenotype	Cttnbp2,Duoxa2,Pepd	3	0	0	4
decreased transitional stage T2 B cell number	immune system phenotype,hematopoietic system phenotype	Arpc1b,Cog6,Gmds	3	0	0	4
decreased urine creatinine level	homeostasis/metabolism phenotype,renal/urinary system phenotype	Akr1d1,Bex4,Hc,Hsd17b11,Myh1,Scamp5,Sprr1b,Ypel1	8	1	4	3
decreased urine magnesium level	homeostasis/metabolism phenotype,renal/urinary system phenotype	Aqp11,Dbr1,Lpar4,Mars2,R3hcc1l	5	3	4	2
decreased urine microalbumin level	homeostasis/metabolism phenotype,renal/urinary system phenotype	Hsd17b11	1	0	0	1
decreased vertical activity	behavior/neurological phenotype	Adamts1,Adm2,Ahrr,Ankfy1,Ap2s1,Ap4e1,Aph1a,Arhgef2,Aspa,Atp2b3,Baat,Bach2,Bckdha,Bex2,Bfsp1,Bicd1,Bicdl1,Bpifa2,Bscl2,Btnl1,Cacna2d1,Cacybp,Camk2b,Cbarp,Ccdc28a,Cct3,Cdc123,Cdc5l,Cdcp2,Cdh4,Cdip1,Cep290,Chd8,Cherp,Chsy3,Clcnkb,Clec5a,Col8a1,Colec10,Cops7a,Cpe,Cpt1c,Cygb,Cyp27b1,Cystm1,Dbnl,Dennd6b,Dguok,Dnase1l2,Dpp8,Dusp8,Eef1d,Efemp1,Emc3,Emc6,Evc2,Fam184b,Far2,Fmo3,Fnbp1l,Fndc3a,Folr1,Foxo3,Fzd1,G2e3,Galnt17,Gde1,Ghrhr,Gria1,Grik5,Gsg1l,H3f3b,Hcrt,Hgsnat,Hhatl,Hip1,Hpgds,Ift81,Ighmbp2,Il18r1,Insl5,Ipo8,Isca1,Kat8,Kcne1,Kcnh7,Kcnt2,Krtap17-1,Lcn10,Lep,Lmo1,Lnpep,Lrrc41,Lrrc49,Lypd6b,Maats1,Maged1,Med1,Mettl5,Miga1,Mink1,Mllt10,Mllt6,Mrpl41,Msantd2,Mthfsl,Mvk,Myh1,Nav1,Ndufs1,Neurod2,Nhlh2,Npepps,Nr1d1,P3h3,Pank1,Pcgf2,Pdik1l,Pdp1,Peli1,Pepd,Phactr1,Phf14,Pipox,Pitx3,Pkp4,Ppm1n,Rab2a,Rasd1,Rnf144b,Scarb1,Scin,Serac1,Serpina5,Slc30a4,Slc46a1,Smim23,Smim8,Socs1,Sorbs2,Spred3,Ssbp2,Strbp,Surf4,Tceal1,Tdo2,Tg,Tmem145,Tmem63b,Tnfsf8,Tox3,Trappc2l,Trib2,Tspan18,Txndc5,Tyw1,Ube3a,Ube3c,Unc119,Usp29,Vezt,Vsir,Wsb2,Zbed4,Zfp536,Znhit6	166	128	43	30
defective growth and differentiation process	nan	Knop1,Prdm14,Spidr	3	2	2	0
depletion	nan	Ap4e1,Sacs	2	1	2	0
developmental and structural abnormality	nan	Abca1,Adamts13,Bhmt,Cdkn2a,Cfap57,Col1a2,Daam2,Dgcr2,Ide,Itch,Kpna2,Nsun2,Phf20,Pja1,Plod1,Ppp2r5c,Prdm14,Prkcz,Rhobtb3,Secisbp2,Slc20a2,Slc30a8,Smc3,Socs7,Spidr,Spns2,Tmem165,Uhrf2,Vps37d	29	23	22	0
developmental dysplasia	nan	Abi2,Aire,Ccnb1ip1,Cdk4,Cyrib,Dnah2,Dtnbp1,Ehd1,Eif4enif1,Fam20a,Fubp1,Gja8,Hdgfl3,Krt76,Lamb3,Lpin2,Lrrc56,Lyst,Mcidas,Pcm1,Pex3,Polg2,Sec23a,Setd3,Sh3bp2,Shld1,Slc20a2,Slc29a1,Slc30a8,Syce2,Tbx4,Ttc28,Wdr62	33	28	29	0
dilatation	nan	Aqp3,Pdcd6ip	2	1	2	0
dilated heart left ventricle	cardiovascular system phenotype	Abhd3,Alpk3,Ap1ar,Arhgap40,Card11,Churc1,Col1a2,Dsg2,Fam126a,Fbxo10,Fmc1,Grem2,Gsdmd,Ints6l,Mapkap1,Pex1,Scarb1,Snx25,Tmem169,Wsb2,Zfp280d	21	19	10	19
distended jejunum	digestive/alimentary phenotype	Tmem248	1	2	3	0
dysplasia	nan	Abi2,Arl8b,Asxl2,Atl3,Atp6v0d1,Baz1a,Baz2a,Chchd7,Ctla2b,Ctsk,Cyrib,Dnaaf9,Egr1,Epha5,Fam170a,Fblim1,Ggnbp2,Gnpda1,Gtf2b,Hook1,Hsd17b4,L3mbtl4,Lhfpl1,Mfap4,Micalcl,Pah,Phyh,Pnn,Prdm5,Rnf216,Rsf1,S100a14,Sacs,Setd2,Syce2,Tenm4,Timm8a1,Vps13b	38	41	15	0
dystrophy	nan	Lpin2,Ppl,Rab39b,Setd3	4	3	4	0
edema	homeostasis/metabolism phenotype	Abca12,Adamts6,Aff4,Alg10b,Anapc15,Arid1b,Atp13a1,Baiap2,Bbs1,Bicc1,Birc6,Bloc1s2,Bmi1,Brap,Cacna1s,Cand1,Casq2,Casr,Cdk4,Cdkn1c,Cep135,Cep83,Cnr1,Col27a1,Cyrib,Dhcr7,Dlx3,Dnal1,Dnmt3b,Dpf2,Dzip1l,Eif4enif1,Elavl1,Ewsr1,Eya4,Faf2,Fermt3,Fgb,Fgd1,Fgf15,Fgfr1op2,Fuz,Fzd4,Ggnbp2,Gjc1,Gne,Gxylt1,Hacd1,Ift172,Ift52,Inpp5e,Ipo9,Jun,Jup,Kctd3,L3mbtl3,Laptm4b,Lox,Lrrc8a,Maf,Memo1,Mllt10,Mmachc,Myh10,Myh8,Naa50,Nabp2,Ncor2,Nmnat2,Nog,Nsa2,Pfdn5,Phgdh,Pigq,Pip5k1c,Pkdcc,Psen1,Pskh1,Psph,Ptpn12,Pygo2,Rab34,Rai14,Ranbp1,Rbm45,Rcn3,Rgl1,Robo2,Rock1,Sfmbt2,Six1,Slc12a5,Slc25a1,Slc35d1,Smarcd2,Snx27,Snx3,Ssr1,Stag1,Strn3,Sugp1,Svep1,Tcf21,Tdo2,Tgfbr3,Tm2d2,Tm9sf3,Tmem100,Tmem115,Top2b,Ttl,Ubxn2a,Uggt1,Vps36,Wdfy3,Ywhaz,Zfp260,Zfp503,Zfp91	119	122	127	0
embryonic growth retardation	embryo phenotype,growth/size/body region phenotype	4932438A13Rik,Ace,Actg1,Actr5,Adamts9,Aff4,Alg10b,Alg6,Alg8,Anapc15,Arf4,Arhgef12,Arih2,Asb2,Asf1a,Bmp4,Brap,C2cd3,Calu,Cand1,Casc3,Ccnq,Cct5,Cdan1,Cep83,Chchd1,Chrnd,Clcc1,Cmtr2,Cnbp,Cnnm2,Cnot10,Col27a1,Coq6,Cox18,Cox7c,Cr1l,Csk,Cul5,Cxadr,Dhcr7,Dhx29,Diaph3,Dlx3,Dnmt3b,Egr1,Ehmt2,Eif4h,Elavl1,Eloa,Eng,Erf,Faf2,Fah,Fgd1,Fgfr1,Fgfr1op2,Fhod3,Fitm2,Flii,Folr1,Gapvd1,Gata2,Gjb3,Gne,Gnpda1,Golga7,Got2,Gpaa1,Greb1l,Grhl2,Hacd1,Hibch,Hmox1,Hyls1,Ift172,Ift52,Ift88,Ino80c,Ino80d,Ints10,Ipo4,Ipo9,Ippk,Irx1,Itpr1,Iws1,Jun,Junb,Krit1,Larp1,Ly6e,Maf,Mdh2,Med16,Mrpl58,Mtap,Mtf1,Mthfd2,Myh10,Myo1h,Naa50,Ncor2,Ndel1,Ndufs7,Nme6,Nmnat2,Nobox,Nog,Nr2f1,Nr6a1,Nsa2,Nsmce1,Nsmce2,P4hb,Paics,Pcgf1,Pcsk5,Pdhb,Pfdn5,Phgdh,Pibf1,Piezo1,Pigq,Pik3c2a,Pkdcc,Plod3,Ppox,Ppp1r35,Prrxl1,Psmg1,Ptpn12,Rad9a,Rb1cc1,Rexo1,Rfc1,Rgl1,Rnf31,Romo1,Ror2,Rprd2,Rrp8,Rttn,Sash1,Scrib,Septin11,Sfmbt2,Sfr1,Six1,Slc12a5,Slc25a1,Slc35b4,Slc36a1,Slc7a7,Sptlc1,Srd5a3,Ssr1,St14,Stag1,Sufu,Sugp1,Tcerg1,Tcf21,Tedc1,Tgfbr3,Thap1,Thoc6,Tiprl,Tm2d1,Tm9sf3,Tmem70,Tox4,Ube2c,Ubxn2a,Ubxn7,Uggt1,Vcan,Wdfy3,Wdr59,Wdr60,Zc3h13,Zfp503,Zfp871,Zmym2,Zwilch	185	180	191	0
embryonic lethality prior to organogenesis	mortality/aging	4933427D14Rik,Aamp,Aasdhppt,Aatf,Abce1,Actr8,Acvr1,Adamts9,Adsl,Adss,Ahcy,Alad,Alg11,Alg14,Alg2,Anapc1,Anapc13,Anapc4,Ankfy1,Ap1g1,Ap2s1,Arglu1,Arih1,Armc7,Ascc2,Ash2l,Atad5,Atl2,Atp2b1,Atp5b,Atp5e,Atp5o,Atp6v0a1,Atp6v0d1,Atp6v1b2,Atp6v1c1,Atp6v1d,Atp6v1f,Atp6v1h,Atr,Atrip,Atxn10,Aurka,Aurkaip1,B3galt6,B4gat1,Banp,Bdp1,Borcs6,Brd4,Bub1,Bud23,Bysl,Ccdc174,Ccdc59,Ccnb1,Ccnq,Cct3,Cct5,Cct7,Cd3eap,Cdan1,Cdc20,Cdc23,Cdc37,Cdc42,Cdc5l,Cdc7,Cdca5,Cdin1,Cdipt,Cdk12,Cdk9,Cenpo,Cenpt,Cep57l1,Cfdp1,Chd1,Chd4,Cherp,Chmp3,Chmp6,Ciao2b,Cinp,Ckap5,Clpx,Cmtr1,Coa5,Coa6,Cog4,Cog7,Cog8,Coq3,Coq8b,Cox15,Cox16,Cox19,Cox20,Cox4i1,Cpsf3,Crcp,Ctdp1,Ctps,Ctr9,Dap3,Dbf4,Dbr1,Dcps,Dctn6,Ddb1,Ddost,Ddx1,Ddx41,Ddx46,Ddx54,Dhfr,Dhx16,Dhx33,Dhx37,Dhx38,Dicer1,Dmap1,Dnaaf2,Dnajc2,Dnajc9,Dnm2,Dolk,Dppa1,Dstn,Ebna1bp2,Eif1ad,Eif2b3,Eif2b4,Eif2s2,Eif4g2,Eipr1,Elp6,Emc6,Emg1,Eomes,Eprs,Eral1,Ercc3,Exoc2,Exoc4,Exoc8,Exosc2,Exosc8,Fam210a,Fastkd5,Fbxw16,Fgf4,Fkbpl,Fnta,Foxred1,Fth1,Fxn,Fzd2,Gars,Gart,Gcsh,Gemin5,Get1,Get4,Gins3,Gins4,Glrx3,Gps1,Gpx4,Gtf2b,Gtf2e2,Gtpbp4,Hars2,Haus4,Hdgfl1,Hlcs,Hmbs,Hnrnpc,Hspa5,Hspd1,Iars2,Ier3ip1,Ifng,Ik,Ilk,Ints3,Ints7,Isca1,Isy1,Jtb,Kansl3,Kars,Kat5,Kin,Kri1,Kti12,Lamtor1,Lamtor5,Lmbrd1,Lrr1,Lss,Luc7l3,Mak16,Mars2,Mbip,Mcm4,Mcmbp,Mcrs1,Med10,Med17,Med20,Med28,Mepce,Mettl14,Mettl16,Mettl3,Mogs,Mon2,Mphosph10,Mrgbp,Mrm2,Mrm3,Mrpl12,Mrpl22,Mrpl3,Mrpl33,Mrpl44,Mrpl47,Mrpl51,Mrps12,Mrps18c,Mrps22,Mrps25,Mrps5,Msto1,Mtg1,Mtg2,Mthfd1,Mtpap,Mtx2,Mvd,Mvk,Mybl2,Naa25,Nadk,Nae1,Nars2,Ncbp2,Ncoa5,Ndc80,Ndufa6,Ndufa9,Ndufs2,Ndufs7,Ndufs8,Ndufv1,Nedd1,Nelfa,Nepro,Noc4l,Nol9,Nop10,Nsf,Nsl1,Nudt21,Nup133,Nup153,Odc1,Orc1,Orc2,Orc6,Osbp,Oxa1l,Paf1,Pak1ip1,Pam16,Parg,Pdcd2,Pdss2,Pes1,Pi4ka,Pigh,Pigk,Pigo,Plk1,Pmm2,Pmpca,Pmpcb,Pnn,Poglut1,Pola2,Pold2,Pold3,Polr1c,Polr1d,Polr2g,Polr2h,Polr3a,Polr3b,Polr3d,Pom121,Pop5,Pop7,Ppie,Ppp2r3c,Preb,Prim1,Prkcsh,Prpf3,Prpf40a,Prpf4b,Psmc6,Psmd13,Psmd2,Psmg1,Ptcd3,Ptpmt1,Ptpn14,Pyroxd1,Rab10,Rab11a,Ranbp2,Rbm22,Rbm25,Rcc1,Recql4,Rer1,Rfc1,Rfc2,Rfc5,Rft1,Rgp1,Rhbdl1,Ric8a,Rint1,Riok1,Riok2,Rnf20,Rnf40,Rnmt,Rnpc3,Romo1,Rpa1,Rpain,Rpl7l1,Rps19bp1,Rps20,Rrm2,Rrp1,Sacm1l,Sap18,Sars,Sbno1,Scfd1,Sdha,Sdhaf2,Sec31a,Sec62,Sec63,Sepsecs,Sf3b3,Sfswap,Ska2,Skiv2l,Slc22a5,Slc30a2,Slc39a10,Slc39a4,Slc39a7,Smarcb1,Snap23,Snapc1,Snapc2,Snrnp200,Snrnp27,Spata5,Spc25,Sptlc2,Sptssa,Srbd1,Srp9,Srprb,Srsf11,Stx18,Stx3,Sugt1,Supt4a,Tada1,Taf13,Taf6,Taf8,Tardbp,Tars2,Tbcc,Telo2,Thoc3,Thoc7,Timm13,Timm22,Tkt,Tmem237,Tmem41b,Tmx2,Toe1,Tomm20,Tomm22,Tomm40,Tomm70a,Tonsl,Top2a,Top3a,Tpk1,Tpx2,Trappc11,Trit1,Trp53bp2,Tsen54,Ttc37,Ttk,Tubgcp2,Tubgcp4,U2af2,Ube2i,Ube2m,Ube2n,Ubiad1,Urb1,Utp4,Vezt,Vps25,Vps33a,Wars2,Washc3,Washc4,Wdhd1,Wdr1,Wdr12,Wdr25,Wdr33,Wdr36,Wdr73,Wdr74,Wee1,Yars,Yeats2,Yipf5,Yju2,Ykt6,Ylpm1,Zbtb34,Zfp407,Zmiz2,Znhit1,Zwint	454	0	0	455
